QuestionID,Class,Subject,Topic,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation,Difficulty,Source,Active
ENG001,6,English,collective noun,The ___ of soldiers marched towards the fort.,army,crowd,team,class,A,Army is a collective noun for a group of soldiers.,Easy,RMS/Sainik Prep,TRUE
ENG002,6,English,abstract noun,Choose the abstract noun: 'Her kindness impressed everyone.',her,kindness,everyone,impressed,B,Kindness names a quality or idea and cannot be touched.,Easy,RMS/Sainik Prep,TRUE
ENG003,6,English,proper noun,Which is a proper noun in 'Delhi is the capital of India'?,capital,Delhi,India,city,B,Delhi is a specific place name and is a proper noun.,Easy,RMS/Sainik Prep,TRUE
ENG004,6,English,common noun,Which is a common noun?,Rohan,Monday,river,India,C,River is a general name for a class of things.,Easy,RMS/Sainik Prep,TRUE
ENG005,6,English,material noun,Which word is a material noun?,gold,ring,jeweller,shine,A,Gold names a material from which things are made.,Easy,RMS/Sainik Prep,TRUE
ENG006,6,English,countable noun,Which noun is countable?,water,rice,apple,milk,C,"An apple can be counted: one apple, two apples.",Easy,RMS/Sainik Prep,TRUE
ENG007,6,English,uncountable noun,Which noun is usually uncountable?,chair,book,sugar,coin,C,Sugar is generally treated as an uncountable noun.,Easy,RMS/Sainik Prep,TRUE
ENG008,6,English,gender,What is the feminine form of 'nephew'?,niece,daughter,aunt,sister,A,The feminine form of nephew is niece.,Easy,RMS/Sainik Prep,TRUE
ENG009,6,English,gender,What is the masculine form of 'mare'?,horse,stallion,foal,cow,B,A male horse is called a stallion.,Easy,RMS/Sainik Prep,TRUE
ENG010,6,English,number,What is the plural of 'leaf'?,leafs,leaves,leafes,leavs,B,Leaf changes to leaves in the plural.,Easy,RMS/Sainik Prep,TRUE
ENG011,6,English,number,What is the plural of 'mouse'?,mouses,mouse,mice,meese,C,Mouse has the irregular plural mice.,Easy,RMS/Sainik Prep,TRUE
ENG012,6,English,number,What is the plural of 'child'?,childs,children,childes,childrens,B,The irregular plural of child is children.,Easy,RMS/Sainik Prep,TRUE
ENG013,6,English,number,What is the plural of 'tooth'?,tooths,teeth,toothes,teeths,B,The irregular plural of tooth is teeth.,Easy,RMS/Sainik Prep,TRUE
ENG014,6,English,noun formation,What is the noun form of 'brave'?,bravely,bravery,bravenessly,braver,B,Bravery is the noun naming the quality of being brave.,Easy,RMS/Sainik Prep,TRUE
ENG015,6,English,noun formation,What is the noun form of 'wise'?,wisely,wisdom,wiseness,wiser,B,Wisdom is the noun form commonly used for wise.,Medium,RMS/Sainik Prep,TRUE
ENG016,6,English,noun formation,What is the abstract noun of 'poor'?,poorly,poverty,poornessful,poorer,B,Poverty is the abstract noun related to poor.,Medium,RMS/Sainik Prep,TRUE
ENG017,6,English,noun formation,What is the abstract noun of 'strong'?,strongly,strength,strongness,stronger,B,Strength names the quality of being strong.,Easy,RMS/Sainik Prep,TRUE
ENG018,6,English,noun identification,Identify the noun in: 'The puppy chased the ball.',chased,the,puppy,the,C,Puppy is a naming word for an animal.,Easy,RMS/Sainik Prep,TRUE
ENG019,6,English,noun identification,Which word is a noun in 'The farmer grows wheat'?,grows,farmer,the,quickly,B,Farmer names a person who works on a farm.,Easy,RMS/Sainik Prep,TRUE
