QuestionID,Class,Subject,Topic,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,Explanation,Difficulty,Source,Active
ENG001,6,English,Nouns,Identify the collective noun in the sentence: 'A herd of cattle was grazing in the field.',cattle,herd,grazing,field,B,'Herd' is a collective noun referring to a group of cattle.,Easy,RMS/Sainik Prep,True
ENG002,6,English,Nouns,What is the abstract noun form of the adjective 'Honest'?,Honestly,Honesty,Dishonest,Honored,B,'Honesty' is the abstract noun derived from the adjective 'honest'.,Easy,RMS/Sainik Prep,True
ENG003,6,English,Nouns,What is the plural of 'Criterion'?,Criterions,Criteria,Criterias,Criteriones,B,The plural form of the Greek-derived word 'criterion' is 'criteria'.,Hard,RMS/Sainik Prep,True
ENG004,6,English,Nouns,Which of the following is a material noun?,Gold,Wisdom,Flock,Teacher,A,'Gold' is a material noun as it denotes a raw substance.,Easy,RMS/Sainik Prep,True
ENG005,6,English,Nouns,What is the feminine gender of 'Stag'?,Mare,Vixen,Doe,Ewe,C,The feminine gender of 'stag' (male deer) is 'doe' (or 'hind').,Medium,RMS/Sainik Prep,True
ENG006,6,English,Pronouns,Identify the reflexive pronoun in: 'She hurt herself while playing.',She,hurt,herself,playing,C,'Herself' acts as a reflexive pronoun referring back to the subject 'She'.,Easy,RMS/Sainik Prep,True
ENG007,6,English,Pronouns,"Fill in the blank with the suitable pronoun: 'This book is mine, but that one is ______.'",your,yours,you,your's,B,'Yours' is the possessive pronoun. Note that possessive pronouns do not take an apostrophe.,Medium,RMS/Sainik Prep,True
ENG008,6,English,Pronouns,Fill in the blank: 'Neither of the boys has done ______ homework.',his,their,them,they,A,'Neither' takes a singular pronoun 'his' when referring to masculine singular subjects.,Hard,RMS/Sainik Prep,True
ENG009,6,English,Pronouns,Which type of pronoun is underlined: '<u>Who</u> made this beautiful painting?',Relative Pronoun,Interrogative Pronoun,Demonstrative Pronoun,Indefinite Pronoun,B,"'Who' is used to ask a question, so it is an interrogative pronoun.",Easy,RMS/Sainik Prep,True
ENG010,6,English,Pronouns,Fill in the blank: 'The man ______ lost his wallet was very worried.',which,whose,who,whom,C,'Who' is the relative pronoun used for persons acting as the subject of the clause.,Medium,RMS/Sainik Prep,True
